time height vel dragX dragY
0.87906250000 6.57213099011e-01 -2.30703533005e-01 0.00000000000e+00 9.22933276170e-01
0.87921875000 6.57177050643e-01 -2.30715573289e-01 0.00000000000e+00 9.22951085750e-01
0.87937500000 6.57141000395e-01 -2.30727610791e-01 0.00000000000e+00 9.22968890705e-01
0.87953125000 6.57104948265e-01 -2.30739645512e-01 0.00000000000e+00 9.22986691040e-01
0.87968750000 6.57068894256e-01 -2.30751677451e-01 0.00000000000e+00 9.23004486757e-01
0.87984375000 6.57032838367e-01 -2.30763706610e-01 0.00000000000e+00 9.23022277860e-01
0.88000000000 6.56996780598e-01 -2.30775732990e-01 0.00000000000e+00 9.23040064351e-01
0.88015625000 6.56960720950e-01 -2.30787756591e-01 0.00000000000e+00 9.23057846236e-01
0.88031250000 6.56924659424e-01 -2.30799777414e-01 0.00000000000e+00 9.23075623516e-01
0.88046875000 6.56888596020e-01 -2.30811795459e-01 0.00000000000e+00 9.23093396194e-01
0.88062500000 6.56852530739e-01 -2.30823810728e-01 0.00000000000e+00 9.23111164275e-01
0.88078125000 6.56816463580e-01 -2.30835823221e-01 0.00000000000e+00 9.23128927762e-01
0.88093750000 6.56780394544e-01 -2.30847832939e-01 0.00000000000e+00 9.23146686657e-01
0.88109375000 6.56744323633e-01 -2.30859839882e-01 0.00000000000e+00 9.23164440965e-01
0.88125000000 6.56708250845e-01 -2.30871844052e-01 0.00000000000e+00 9.23182190687e-01
0.88140625000 6.56672176182e-01 -2.30883845448e-01 0.00000000000e+00 9.23199935829e-01
0.88156250000 6.56636099644e-01 -2.30895844073e-01 0.00000000000e+00 9.23217676392e-01
0.88171875000 6.56600021231e-01 -2.30907839925e-01 0.00000000000e+00 9.23235412380e-01
0.88187500000 6.56563940944e-01 -2.30919833007e-01 0.00000000000e+00 9.23253143797e-01
0.88203125000 6.56527858784e-01 -2.30931823319e-01 0.00000000000e+00 9.23270870645e-01
0.88218750000 6.56491774750e-01 -2.30943810861e-01 0.00000000000e+00 9.23288592928e-01
0.88234375000 6.56455688843e-01 -2.30955795634e-01 0.00000000000e+00 9.23306310650e-01
0.88250000000 6.56419601064e-01 -2.30967777639e-01 0.00000000000e+00 9.23324023812e-01
0.88265625000 6.56383511413e-01 -2.30979756877e-01 0.00000000000e+00 9.23341732420e-01
0.88281250000 6.56347419890e-01 -2.30991733349e-01 0.00000000000e+00 9.23359436475e-01
0.88296875000 6.56311326497e-01 -2.31003707054e-01 0.00000000000e+00 9.23377135982e-01
0.88312500000 6.56275231232e-01 -2.31015677994e-01 0.00000000000e+00 9.23394830942e-01
0.88328125000 6.56239134098e-01 -2.31027646170e-01 0.00000000000e+00 9.23412521361e-01
0.88343750000 6.56203035093e-01 -2.31039611582e-01 0.00000000000e+00 9.23430207240e-01
0.88359375000 6.56166934220e-01 -2.31051574231e-01 0.00000000000e+00 9.23447888584e-01
0.88375000000 6.56130831477e-01 -2.31063534118e-01 0.00000000000e+00 9.23465565395e-01
0.88390625000 6.56094726866e-01 -2.31075491243e-01 0.00000000000e+00 9.23483237676e-01
0.88406250000 6.56058620386e-01 -2.31087445607e-01 0.00000000000e+00 9.23500905431e-01
0.88421875000 6.56022512039e-01 -2.31099397210e-01 0.00000000000e+00 9.23518568663e-01
0.88437500000 6.55986401825e-01 -2.31111346055e-01 0.00000000000e+00 9.23536227375e-01
0.88453125000 6.55950289744e-01 -2.31123292140e-01 0.00000000000e+00 9.23553881571e-01
0.88468750000 6.55914175797e-01 -2.31135235467e-01 0.00000000000e+00 9.23571531253e-01
0.88484375000 6.55878059983e-01 -2.31147176037e-01 0.00000000000e+00 9.23589176426e-01
0.88500000000 6.55841942305e-01 -2.31159113850e-01 0.00000000000e+00 9.23606817091e-01
0.88515625000 6.55805822761e-01 -2.31171048908e-01 0.00000000000e+00 9.23624453252e-01
0.88531250000 6.55769701352e-01 -2.31182981209e-01 0.00000000000e+00 9.23642084913e-01
0.88546875000 6.55733578080e-01 -2.31194910757e-01 0.00000000000e+00 9.23659712077e-01
